台灣頻道,#genre#
Catchplay,http://www.336699.live:1935/blocksix/4gtv-live155.stream/chunklist.m3u8
CHY電影,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
Cinema worid,http://www.336699.live:1935/blocksix/4gtv-live069.stream/chunklist.m3u8
CI罪案現場,http://www.336699.live:1935/blocksix/4gtv-live027.stream/chunklist.m3u8
cnex,http://www.336699.live:1935/blockfour/4gtv-4gtv013.stream/playlist.m3u8
CNN,http://www.336699.live:1935/blocksix/4gtv-live130.stream/chunklist.m3u8
CNN,http://www.yshmzmc.top/gtjm.php?id=live1063
DW,http://www.336699.live:1935/blocksix/4gtv-live071.stream/chunklist.m3u8
ELEVEN1,http://www.yshmzmc.top/gtjm.php?id=live1069
ELEVEN2,http://www.yshmzmc.top/gtjm.php?id=live1072
ELTA生活旅遊,http://www.336699.live:1935/blocksix/4gtv-live120.stream/chunklist.m3u8
ELTA娛樂,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
GinX,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
Gobal Trekker,http://www.336699.live:1935/blocksix/4gtv-live112.stream/chunklist.m3u8
HBO,http://www.yshmzmc.top/gtjm.php?id=live1029
History,http://www.336699.live:1935/blocksix/4gtv-live026.stream/chunklist.m3u8
HITS,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
HITS,http://www.336699.live:1935/blocksix/4gtv-live620.stream/chunklist.m3u8
i-Fun愛放,http://www.336699.live:1935/blockfour/litv-ftv15.stream/playlist.m3u8
KPOP,https://git.io/JgYAE
Lifetime,http://www.336699.live:1935/blocksix/4gtv-live029.stream/chunklist.m3u8
LIVE互動英語,http://www.336699.live:1935/blocksix/4gtv-live030.stream/chunklist.m3u8
LOVE Nature,http://www.336699.live:1935/blocksix/4gtv-live208.stream/chunklist.m3u8
LUXE,http://www.336699.live:1935/blocksix/4gtv-live121.stream/chunklist.m3u8
MCE,http://www.336699.live:1935/blocksix/4gtv-live157.stream/chunklist.m3u8
mezzo live,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
MOMO綜合,http://www.yshmzmc.top/gtjm.php?id=live1248
momo親子,http://www.336699.live:1935/blocksix/4gtv-live107.stream/chunklist.m3u8
Movie Gold,http://www.yshmzmc.top/gtjm.php?id=live1032
MTV,http://www.336699.live:1935/blocksix/4gtv-live025.stream/chunklist.m3u8
nickelodeon,http://www.336699.live:1935/blocksix/4gtv-live105.stream/chunklist.m3u8
nickjr.,http://www.336699.live:1935/blocksix/4gtv-live032.stream/chunklist.m3u8
Pet Club,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
ROCK ACTION,http://www.336699.live:1935/blocksix/4gtv-live138.stream/chunklist.m3u8
ROLLOR,http://www.336699.live:1935/blocksix/4gtv-live012.stream/chunklist.m3u8
star world,http://www.yshmzmc.top/gtjm.php?id=live1040
Style,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
TECHStorm,http://www.336699.live:1935/blocksix/4gtv-live109.stream/chunklist.m3u8
TRACE,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
TVBS HD,http://www.336699.live:1935/blocksix/4gtv-live072.stream/chunklist.m3u8
TVBS,http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
TVBS,https://epg.pw/stream/c69d1cc112b64d809dcd6b9359153d668abbca671102437a920d36072581f7c6.ctv
TVBS,https://git.io/JgYl2
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,https://epg.pw/stream/18fc21d67cb93b0bd6acebdb5c6e5268ea50abb890acb9e78643189d36326e6c.ctv
TVBS新聞,https://git.io/Jgkp1
TVBS精采,http://www.336699.live:1935/blocksix/4gtv-live086.stream/chunklist.m3u8
TVBS歡樂,http://www.336699.live:1935/blockfour/4gtv-4gtv068.stream/playlist.m3u8
TVBS歡樂,https://epg.pw/stream/a0e38cabd293735287ad24ea12d5e2e3d2f0ecd3a9984895501def1ccc98f1e6.m3u8
人間衛視,http://www.336699.live:1935/blocksix/4gtv-live008.stream/chunklist.m3u8
八大第一,http://123.51.230.108:18539/.m3u8
八大第一,http://www.yshmzmc.top/gtjm.php?id=live1043
八大精彩,http://www.336699.live:1935/blockfour/4gtv-4gtv034.stream/playlist.m3u8
八大綜合,http://www.336699.live:1935/blockfour/4gtv-4gtv039.stream/playlist.m3u8
三立iNews,https://git.io/Jgkxj
三立Live新聞,https://git.io/Jgkxp
三立都會,http://www.yshmzmc.top/gtjm.php?id=live1020
三立都會,https://epg.pw/stream/313345d3e4c73171c55ae7c27654790b0863d0bfc465df7d937a69f0dff587f5.ctv
三立新聞,http://www.336699.live:1935/blocksix/4gtv-live089.stream/chunklist.m3u8
三立新聞,http://www.yshmzmc.top/gtjm.php?id=live1079
三立綜合,http://www.336699.live:1935/blocksix/4gtv-live207.stream/chunklist.m3u8
大愛,http://www.336699.live:1935/blocksix/4gtv-live007.stream/chunklist.m3u8
大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2,http://www.336699.live:1935/blocksix/4gtv-live106.stream/chunklist.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8#https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
中天美食旅遊,http://www.336699.live:1935/blocksix/4gtv-live123.stream/chunklist.m3u8
中天娛樂,http://www.yshmzmc.top/gtjm.php?id=live1023
中天新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
中天新聞,http://www.yshmzmc.top/gtjm.php?id=live1015
中天新聞,https://git.io/Jgkpy
中天綜合,http://23.237.10.66:16372
中天綜合,http://www.336699.live:1935/blocksix/4gtv-live033.stream/chunklist.m3u8
中天綜合,https://epg.pw/stream/4c3c400280fb3d1f5b27322fe4827f5ba43f09963e114b0973bea7b5a85f7d73.ctv
